Amarillo	224447	0.00016481478938	0.000318535102568	0.000103795297622	0.000289807255882	0.000653190925942	0.000253130305371	0.000354421407053
Anderson County	55288	0.000147868840339	0.000717478889563	0.000290592081366	0.000249910746162	0.000461369201831	0.000611918002988	0.000215974946906
Andrews County	12804	0	7.83637645953e-05	0	0	7.83821915661e-05	7.87649653434e-05	0.00023362666459
Angelina County	80713	0.000149571850578	0.000500312695435	0.000174546179932	7.44647843624e-05	0.000556524320113	0.000308394498242	0.000194867672671
Aransas County	23418	0	0.000310917651239	0.000304347826087	8.55761413718e-05	0.000252844500632	0.000205086136177	0.000327922610264
Archer County	8916	0	0.000113713895838	0.000225301340543	0.000111982082867	0.000111346175259	0	0.000111632060728
Armstrong County	2107	0	0.00046511627907	0.000965250965251	0	0.000477554918816	0	0
Atascosa County	41189	5.14482687658e-05	0.000576860374708	7.34933855953e-05	0.000435867012132	0.000380327557109	0.000424088210348	0.000372526193248
Austin	1174931	3.90387180429e-05	0.000243658000208	0.000103253626784	0.000115876545986	0.000280261320675	0.00020270472975	0.000207353838842
Austin County	24974	4.21194507624e-05	0.000537523258218	0	7.99392461729e-05	0.000117642445394	0.000155376009944	0
Bailey County	6515	0.000455719276925	0	0.00015503875969	0.000153775180686	0.00015243902439	0	0.000155424308362
Bandera County	18900	5.61419267909e-05	0.000274710180759	0.000106740673534	0.000156887354879	0.00020725388601	0.0001026114617	0.000152741713762
Bastrop County	65143	1.71567786432e-05	0.000489731953378	0.000172546312999	0.000272199370917	0.000429400615968	0.000363631074457	0.000341428022705
Baylor County	3921	0	0	0	0.000254452926209	0	0.000259605399792	0
Bee County	32351	0.000341074695358	0.000471431265322	0.000406593062897	0.00027391423441	0.000306344392366	0.00027734122215	0.000307986079029
Bell County	252361	6.27292230358e-05	0.000296850906632	8.0658821252e-05	0.000263943713018	0.00033273962146	0.000145248834187	0.000357158969578
Bexar County	1466769	4.93621904222e-05	0.000188741398835	7.49952086394e-05	0.000155208368945	0.000269441443185	0.00012560704563	0.000166950073548
Blanco County	8756	0.000118259224219	0.000347544022243	0	0.000114613180516	0.000225988700565	0.000223663609931	0
Bosque County	17555	0	0.000173030337986	0	0.000113940636928	5.64015792442e-05	0.000112384805574	0.000112334306897
Bowie County	89676	0.000190480458946	0.000515521685532	0.00030269397639	0.000123167877817	0.000356879976803	0.00011116916612	0.00029628329072
Brazoria County	261952	4.11302595319e-05	0.000177177165085	7.05061164056e-05	0.000122535410819	0.000279931174255	0.000153216451069	7.75456109184e-05
Brazos County	159428	6.54013681966e-05	0.000201011541953	7.01007539017e-05	6.89439047321e-05	0.000241929480658	0.000220038139944	9.54671026331e-05
Brewster County	9075	0.000112625295641	0.000223488657951	0.000659485601231	0.000216567406605	0.000544365813827	0.000220896841175	0.000438260107374
Briscoe County	1671	0	0.000580046403712	0	0	0	0.000623441396509	0
Brooks County	7672	0	0.00117340286832	0.00104234527687	0.000261745844785	0.000525279054498	0.000395465330873	0.00118843258946
Brown County	37910	0.000238663484487	0.000611409431655	0.00100521122662	0.00023925352899	0.000553330522766	0.000916398292881	0.000285877644368
Burleson County	16646	0.000181455271276	0.000421509002228	0.000181203189176	0.000119832234871	0.000239334649674	0.000178168428554	6.02845430432e-05
Burnet County	38468	5.79323928975e-05	0.000528188591126	5.36423130565e-05	0.000130171044753	0.00107950694148	0.000219952099321	0.000283426627932
Caldwell County	34930	3.07967109113e-05	0.00133511348465	0.000317075982936	0.000255456841986	0.000860059926756	0.000608289324522	0.000635253825333
Calhoun County	20398	4.84050534876e-05	0.000193723363038	4.91062659595e-05	0.000147856086742	0.000393797686439	0.000296457334849	0
Callahan County	12990	0.000309669427886	0.00102225367618	0.000312451179503	7.75855380557e-05	0.000534065766384	0.00015138899402	7.52558699579e-05
Cameron County	357272	8.9148807189e-05	0.000721275284787	6.00226371089e-05	0.000248884911702	0.0002302574772	0.000368783177027	0.000245913993564
Camp County	11795	0.000258754528204	0.00157191511658	0.000257820556892	0.000342377813918	0.00101325677615	0.000823316318129	0.000163759927946
Carson County	6404	0	0.000156592546195	0	0	0	0.000313087038197	0
Cass County	29762	0	0.00039980009995	0.000234340999632	0.000101071356378	0.000541326927631	0.000169738941508	0.000238476475999
Castro County	7761	0	0.000868809730669	0.000126566257436	0.000128749839063	0.000263227165043	0	0.000273597811218
Chambers County	27262	0	7.532672969e-05	7.41922320733e-05	0	0.000108483402039	7.14285714286e-05	0
Cherokee County	47143	0.000107073259524	0.000449476680722	8.56934744419e-05	0.000190940914395	0.000274255817388	0.000483172975925	0.000167472628692
Childress County	7570	0	0	0	0	0	0	0.000133014099495
Clay County	11254	0	0.000179275726067	0	8.83938831433e-05	0.00017658484902	8.79584835957e-05	8.91345039665e-05
Cochran County	3434	0.000269832703724	0.00027344818157	0.00057290174735	0.000581564408258	0.000603682463024	0	0.000630318310747
Coke County	3706	0	0	0	0	0	0.000278396436526	0.000555401277423
Coleman County	8802	0.000108920596885	0.000220482857458	0.000338524035206	0.000114678899083	0.000577367205543	0.000117082308863	0.000116495806151
Collingsworth County	3053	0	0.000322476620445	0	0.000330141961043	0.000990752972259	0	0.000679347826087
Colorado County	20350	9.83622682339e-05	4.95908752789e-05	4.92125984252e-05	4.89045383412e-05	0.000147354978142	4.9125564944e-05	9.76848686139e-05
Comal County	88094	5.0797521081e-05	0.000294771490684	3.5620146755e-05	0.000138059572706	0.000384826827927	0.000274765920572	0.000420930255865
